AgentID,AgentName,AgencyName,AgentPhoneNumber,AgentEmail
1,Jessica Davis,Horizon Realty,555-014-0538,jessica.davis@gmail.com
2,Unknown,Golden Key Realty,555-183-9707,
3,Unknown,Top Realty,INVALID,unknown@gmail.com
4,Emily Johnson,Dream Home Realty,555-030-7148,emily.johnson@gmail.com
5,Unknown,Unknown Agency,INVALID,unknown@gmail.com
6,,Premium Properties,555-297-5705,unknown@gmail.com
7,Robert Thomas,Elite Realty,555-015-0877,robert.thomas@gmail.com
8,Emily Johnson,Unknown Agency,555-726-7800,
9,Unknown,Golden Key Realty,555-454-0453,
10,Jessica Davis,Blue Sky Realty,INVALID,jessica.davis@gmail.com
11,Emily Johnson,Unknown Agency,,
12,Emily Johnson,Premium Properties,555-151-9154,emily.johnson@gmail.com
13,Patricia Jackson,Unknown Agency,555-108-1916,patricia.jackson@gmail.com
14,Patricia Jackson,Blue Sky Realty,555-091-2589,patricia.jackson@gmail.com
15,Emily Johnson,Unknown Agency,555-808-6919,emily.johnson@gmail.com
16,Unknown,Premium Properties,,
17,Unknown,Top Realty,555-653-5835,unknown@gmail.com
18,James Taylor,Blue Sky Realty,555-981-6362,james.taylor@gmail.com
19,Robert Thomas,Unknown Agency,INVALID,robert.thomas@gmail.com
20,Emily Johnson,Pinnacle Properties,555-213-8875,emily.johnson@gmail.com
21,Unknown,Unknown Agency,555-859-4566,unknown@gmail.com
22,Linda Anderson,Unknown Agency,555-672-2448,linda.anderson@gmail.com
23,Linda Anderson,Dream Home Realty,555-886-0024,
24,Unknown,Unknown Agency,555-376-3450,unknown@gmail.com
25,Robert Thomas,Blue Sky Realty,555-065-2104,robert.thomas@gmail.com
26,Emily Johnson,Premium Properties,555-603-8581,invalid email
27,Michael Brown,Horizon Realty,555-760-3515,michael.brown@gmail.com
28,James Taylor,Pinnacle Properties,555-094-7395,james.taylor@gmail.com
29,Unknown,Sunshine Realty,555-503-5579,unknown@gmail.com
30,Emily Johnson,Sunshine Realty,555-430-4515,emily.johnson@gmail.com
31,Unknown,Sunshine Realty,INVALID,
32,Linda Anderson,Dream Home Realty,555-299-1386,linda.anderson@gmail.com
33,Unknown,Unknown Agency,555-373-4968,unknown@gmail.com
34,Unknown,Sunshine Realty,555-466-6927,unknown@gmail.com
35,John Smith,Unknown Agency,555-990-6697,john.smith@gmail.com
36,David Wilson,Dream Home Realty,555-054-3713,david.wilson@gmail.com
37,John Smith,Dream Home Realty,555-479-9804,john.smith@gmail.com
38,Unknown,Golden Key Realty,555-072-7776,unknown@gmail.com
39,Unknown,Dream Home Realty,555-128-5201,unknown@gmail.com
40,Michael Brown,Blue Sky Realty,555-921-5552,michael.brown@gmail.com
41,David Wilson,Unknown Agency,,david.wilson@gmail.com
42,James Taylor,Elite Realty,555-863-6031,james.taylor@gmail.com
43,Michael Brown,,555-129-9276,michael.brown@gmail.com
44,,Horizon Realty,555-203-0741,
45,Unknown,Elite Realty,555-042-5424,unknown@gmail.com
46,Michael Brown,Blue Sky Realty,555-259-5390,michael.brown@gmail.com
47,Unknown,Unknown Agency,555-354-3339,unknown@gmail.com
48,Unknown,Unknown Agency,555-849-3051,unknown@gmail.com
49,Emily Johnson,Premium Properties,555-055-4136,emily.johnson@gmail.com
50,Emily Johnson,Premium Properties,555-051-1998,emily.johnson@gmail.com
51,Unknown,Unknown Agency,,unknown@gmail.com
52,Unknown,Premium Properties,INVALID,invalid email
53,Unknown,Premium Properties,555-428-1487,unknown@gmail.com
54,Unknown,Dream Home Realty,,unknown@gmail.com
55,Unknown,Unknown Agency,555-322-5785,unknown@gmail.com
56,Patricia Jackson,Elite Realty,555-379-9142,patricia.jackson@gmail.com
57,Unknown,Unknown Agency,555-003-7821,unknown@gmail.com
58,Unknown,Sunshine Realty,555-029-9730,
59,Emily Johnson,Unknown Agency,555-168-9484,emily.johnson@gmail.com
60,John Smith,Unknown Agency,555-050-1604,john.smith@gmail.com
61,Unknown,Horizon Realty,,unknown@gmail.com
62,Unknown,Blue Sky Realty,,unknown@gmail.com
63,Unknown,Blue Sky Realty,555-068-4136,unknown@gmail.com
64,Unknown,Sunshine Realty,555-501-4719,unknown@gmail.com
65,,Blue Sky Realty,555-135-8277,
66,Unknown,Unknown Agency,555-223-9803,unknown@gmail.com
67,,Unknown Agency,555-266-7015,
68,Emily Johnson,Unknown Agency,555-025-2321,emily.johnson@gmail.com
69,Robert Thomas,Pinnacle Properties,,robert.thomas@gmail.com
70,Unknown,Premium Properties,555-873-9542,invalid email
71,Unknown,Unknown Agency,555-228-7072,unknown@gmail.com
72,Unknown,Premium Properties,555-824-2229,unknown@gmail.com
73,Unknown,Unknown Agency,555-781-7807,
74,Unknown,Dream Home Realty,555-690-6025,unknown@gmail.com
75,Jessica Davis,Blue Sky Realty,555-442-5570,jessica.davis@gmail.com
76,Unknown,Horizon Realty,555-277-1274,unknown@gmail.com
77,Unknown,Premium Properties,555-112-3546,unknown@gmail.com
78,Unknown,Elite Realty,555-714-8106,unknown@gmail.com
79,Emily Johnson,Horizon Realty,INVALID,invalid email
80,,Unknown Agency,555-566-5420,unknown@gmail.com
81,Jessica Davis,,INVALID,jessica.davis@gmail.com
82,Unknown,Elite Realty,INVALID,unknown@gmail.com
83,Michael Brown,Unknown Agency,555-941-4290,michael.brown@gmail.com
84,Unknown,Premium Properties,555-082-2370,unknown@gmail.com
85,Unknown,Unknown Agency,INVALID,unknown@gmail.com
86,Sarah Miller,Dream Home Realty,555-852-0758,sarah.miller@gmail.com
87,Unknown,Horizon Realty,INVALID,unknown@gmail.com
88,Michael Brown,Blue Sky Realty,555-796-0781,michael.brown@gmail.com
89,Unknown,Unknown Agency,555-088-9005,unknown@gmail.com
90,Unknown,Golden Key Realty,555-175-4427,unknown@gmail.com
91,Sarah Miller,Pinnacle Properties,555-356-6592,sarah.miller@gmail.com
92,Unknown,Top Realty,555-820-2410,unknown@gmail.com
93,Unknown,Unknown Agency,555-501-6893,
94,Jessica Davis,Unknown Agency,555-539-8969,jessica.davis@gmail.com
95,Linda Anderson,Blue Sky Realty,555-084-5265,linda.anderson@gmail.com
96,Unknown,Unknown Agency,555-800-9598,
97,Unknown,Unknown Agency,555-866-6584,unknown@gmail.com
98,Patricia Jackson,Unknown Agency,555-105-1567,patricia.jackson@gmail.com
99,Emily Johnson,Unknown Agency,555-451-9232,
100,Jessica Davis,Premium Properties,,jessica.davis@gmail.com
101,Unknown,Premium Properties,555-227-8006,unknown@gmail.com
102,John Smith,Sunshine Realty,555-731-6312,john.smith@gmail.com
103,Michael Brown,Dream Home Realty,555-466-6160,michael.brown@gmail.com
104,John Smith,,INVALID,john.smith@gmail.com
105,Robert Thomas,,555-560-5899,robert.thomas@gmail.com
106,Unknown,Unknown Agency,555-372-5862,unknown@gmail.com
107,Unknown,Golden Key Realty,555-814-4176,unknown@gmail.com
108,Unknown,Horizon Realty,555-686-3933,unknown@gmail.com
109,Unknown,Dream Home Realty,INVALID,unknown@gmail.com
110,Unknown,Pinnacle Properties,555-179-6640,unknown@gmail.com
111,Sarah Miller,Blue Sky Realty,555-430-0318,sarah.miller@gmail.com
112,Jessica Davis,Unknown Agency,555-236-2992,jessica.davis@gmail.com
113,James Taylor,Unknown Agency,555-915-3176,invalid email
114,Unknown,Unknown Agency,555-068-7344,
115,John Smith,Horizon Realty,555-843-2200,john.smith@gmail.com
116,Unknown,Sunshine Realty,555-907-5550,unknown@gmail.com
117,James Taylor,Golden Key Realty,INVALID,james.taylor@gmail.com
118,Unknown,Unknown Agency,555-733-2201,unknown@gmail.com
119,Unknown,Premium Properties,555-372-8762,unknown@gmail.com
120,Unknown,Dream Home Realty,555-814-6397,unknown@gmail.com
121,Linda Anderson,Unknown Agency,555-361-2698,linda.anderson@gmail.com
122,Emily Johnson,Golden Key Realty,555-630-8790,emily.johnson@gmail.com
123,Unknown,,,unknown@gmail.com
124,Unknown,Unknown Agency,555-425-8808,unknown@gmail.com
125,Michael Brown,Sunshine Realty,INVALID,michael.brown@gmail.com
126,Unknown,Premium Properties,555-097-8269,unknown@gmail.com
127,Sarah Miller,Unknown Agency,555-322-8548,sarah.miller@gmail.com
128,Unknown,Premium Properties,555-691-0547,unknown@gmail.com
129,Unknown,Elite Realty,555-662-9732,
130,David Wilson,Horizon Realty,555-335-9180,david.wilson@gmail.com
131,Unknown,Unknown Agency,,
132,Patricia Jackson,Horizon Realty,555-038-0859,patricia.jackson@gmail.com
133,Unknown,Unknown Agency,555-955-6584,unknown@gmail.com
134,Unknown,Unknown Agency,,unknown@gmail.com
135,Unknown,Unknown Agency,555-139-0007,unknown@gmail.com
136,Jessica Davis,Top Realty,555-561-1292,
137,Unknown,Sunshine Realty,INVALID,unknown@gmail.com
138,Unknown,Unknown Agency,555-691-9891,invalid email
139,Patricia Jackson,Dream Home Realty,INVALID,patricia.jackson@gmail.com
140,Unknown,Sunshine Realty,INVALID,unknown@gmail.com
141,Michael Brown,Sunshine Realty,555-698-5342,michael.brown@gmail.com
142,Unknown,Horizon Realty,INVALID,unknown@gmail.com
143,Unknown,Top Realty,555-150-4974,unknown@gmail.com
144,John Smith,Unknown Agency,555-680-5314,john.smith@gmail.com
145,Michael Brown,Sunshine Realty,INVALID,michael.brown@gmail.com
146,Sarah Miller,Premium Properties,555-248-6442,sarah.miller@gmail.com
147,Emily Johnson,Unknown Agency,555-274-2737,emily.johnson@gmail.com
